"날짜","종가","시가","고가","저가","거래량","변동 %"
"2023- 03- 09","391.56","399.74","401.48","390.53","110.48M","-1.84%"
"2023- 03- 08","398.92","398.39","399.71","396.59","74.75M","0.16%"
"2023- 03- 07","398.27","404.42","404.67","397.63","108.31M","-1.53%"
"2023- 03- 06","404.47","405.05","407.45","404.01","72.80M","0.07%"
"2023- 03- 03","404.19","399.79","404.44","399.05","90.12M","1.60%"
"2023- 03- 02","397.81","392.68","398.69","392.33","84.75M","0.78%"
"2023- 03- 01","394.74","395.41","396.69","393.38","99.04M","-0.38%"
"2023- 02- 28","396.26","397.23","399.28","396.15","96.44M","-0.37%"
"2023- 02- 27","397.73","399.87","401.29","396.75","80.44M","0.34%"
"2023- 02- 24","396.38","395.38","397.19","393.66","108.19M","-1.07%"
"2023- 02- 23","400.66","401.56","402.20","396.25","95.42M","0.53%"
"2023- 02- 22","398.54","399.52","401.13","397.02","82.14M","-0.14%"
"2023- 02- 21","399.09","403.06","404.16","398.82","82.18M","-2.01%"
"2023- 02- 17","407.26","406.06","407.51","404.05","89.26M","-0.25%"
"2023- 02- 16","408.28","408.79","412.91","408.14","75.92M","-1.38%"
"2023- 02- 15","413.98","410.35","414.06","409.47","61.28M","0.32%"
"2023- 02- 14","412.64","411.24","415.05","408.51","87.21M","-0.05%"
"2023- 02- 13","412.83","408.72","412.97","408.24","64.49M","1.17%"
"2023- 02- 10","408.04","405.86","408.44","405.01","70.77M","0.23%"
"2023- 02- 09","407.09","414.41","414.57","405.81","77.87M","-0.87%"
"2023- 02- 08","410.65","413.13","414.53","409.93","75.73M","-1.09%"
"2023- 02- 07","415.19","408.87","416.49","407.57","90.32M","1.31%"
"2023- 02- 06","409.83","409.79","411.29","408.10","59.55M","-0.61%"
"2023- 02- 03","412.35","411.59","416.97","411.09","94.74M","-1.06%"
"2023- 02- 02","416.78","414.86","418.31","412.88","100.41M","1.46%"
"2023- 02- 01","410.80","405.21","413.67","402.35","100.16M","1.06%"
"2023- 01- 31","406.48","401.13","406.53","400.77","85.50M","1.47%"
"2023- 01- 30","400.59","402.80","405.13","400.28","74.20M","-1.25%"
"2023- 01- 27","405.68","403.65","408.16","403.44","68.35M","0.23%"
"2023- 01- 26","404.75","403.13","404.92","400.03","71.20M","1.10%"
"2023- 01- 25","400.35","395.95","400.70","393.56","84.80M","0.04%"
"2023- 01- 24","400.20","398.88","401.15","397.64","58.26M","-0.11%"
"2023- 01- 23","400.63","396.72","402.64","395.72","83.78M","1.20%"
